Capability,Category,Lacteva Status,Target User,Priority,Competitive Importance,Business Value,Complexity,Recommended Phase,Backend,Admin Portal,Mobile,AI Required,Hardware Required,Country Specific,Notes
Route management,Distribution,MISSING,Delivery agent; dairy manager,P0,Very high,Very high,Medium,Phase 3,Yes,Yes,Yes,No,No,No,"No route/vehicle/driver table exists. Competitors advertise route + truck sheet + load/unload as core"
Delivery agent assignment,Distribution,MISSING,Dairy manager,P0,High,High,Low,Phase 3,Yes,Yes,Yes,No,No,No,"Operators exist for centres; nothing equivalent for delivery rounds"
Load / unload and crate tracking,Distribution,MISSING,Delivery agent,P1,High,High,Medium,Phase 3,Yes,Yes,Yes,No,No,No,"Bottle/crate deposits are a real cash control in Indian milk delivery"
Fleet / vehicles,Distribution,MISSING,Dairy manager,P2,Medium,Medium,Medium,Phase 3,Yes,Yes,No,No,No,No,"Only needed once routes exist"
Drivers / delivery personnel,Workforce,MISSING,Dairy manager,P1,High,Medium,Low,Phase 3,Yes,Yes,Yes,No,No,No,"Identity exists; a delivery-agent role and round assignment do not"
Attendance / workforce,Workforce,MISSING,Administrator,P3,Low,Low,Medium,Later,Yes,Yes,Yes,No,No,Yes,"Payroll-adjacent; out of scope for a dairy operations platform"
Customer billing,Finance,EXISTS,Finance team,P0,Table stakes,Very high,Done,Done,Yes,Yes,No,No,No,No,"customer_invoice + lines; period-based; draft/issued/cancelled"
Invoices,Finance,EXISTS,Finance team; customer,P0,Table stakes,Very high,Done,Done,Yes,Yes,No,No,No,Partial,"Sequential numbering per tenant/type/year; no tax engine"
Customer payments,Finance,EXISTS,Finance team,P0,Table stakes,Very high,Done,Done,Yes,Yes,No,No,No,No,"customer_payment + allocation to invoices"
Customer receipts,Finance,EXISTS,Customer,P0,Table stakes,High,Done,Done,Yes,Yes,Yes,No,No,No,"customer_receipt generated by consumer"
Receivables / outstanding,Finance,EXISTS,Finance team,P0,Table stakes,Very high,Done,Done,Yes,Yes,No,No,No,No,"Receivables report + per-customer statement with opening/closing identity"
Financial periods / period close,Finance,EXISTS,Finance team,P1,Differentiator (enterprise),High,Done,Done,Yes,Yes,No,No,No,No,"DEMO-020/021; closed periods refuse new invoices/payments/settlements"
UPI / payment gateway collection,Finance,MISSING,Customer; finance team,P0,Very high (India),Very high,Medium,Phase 1,Yes,Yes,Yes,No,No,Yes,"Competitors put UPI links directly in WhatsApp bills. Country-specific rail behind a port"
Counter sales / POS,Sales,MISSING,Counter staff,P2,Medium,Medium,Medium,Later,Yes,Yes,Yes,No,No,No,"Simple Dairy advertises it; a different business (retail outlet) from Lacteva's core"
Products / catalog,Inventory,PARTIAL,Dairy manager,P1,High,High,Medium,Phase 3,Yes,Yes,No,No,No,No,"product is a free string (RAW-COW-MILK). No catalog, pack sizes or SKU"
Inventory / stock,Inventory,MISSING,Dairy manager,P1,High,High,High,Phase 3,Yes,Yes,No,No,No,No,"No stock, no batch, no expiry. Needed once products are more than raw milk"
Processing / plant operations,Operations,MISSING,Plant manager,P3,Medium,Medium,Very high,Later,Yes,Yes,No,No,No,No,"Yield, batches, standardisation. A different product; do not build now"
Chilling centre / BMC,Operations,MISSING,Procurement manager,P2,Medium,Medium,Medium,Later,Yes,Yes,No,No,Yes,No,"Route milk from VLC to BMC; matters at cooperative scale"
Procurement analytics,Analytics,PARTIAL,Procurement manager,P1,High,High,Low,Phase 6,Yes,Yes,No,No,No,No,"Per-centre/per-supplier reports exist; trends and comparatives thin"
Sales analytics,Analytics,PARTIAL,Sales team,P1,High,High,Low,Phase 6,Yes,Yes,No,No,No,No,"Delivery report by customer exists; cohort/churn does not"
Financial analytics,Analytics,PARTIAL,Finance team,P1,High,High,Medium,Phase 6,Yes,Yes,No,No,No,No,"Receivables and settlement reports exist; margin and P&L do not"
Operational dashboards,Analytics,EXISTS,Dairy manager,P0,Table stakes,High,Done,Done,Yes,Yes,Yes,No,No,No,"Dashboard with both sides of the dairy; attention list"
Reports,Reporting,EXISTS,All,P0,Table stakes,High,Done,Done,Yes,Yes,No,No,No,No,"13 report endpoints; business-date correct since DEMO-019"
CSV export,Reporting,EXISTS,Finance team,P1,Table stakes,Medium,Done,Done,Yes,Yes,No,No,No,No,"Delivery report CSV with platform-computed totals row"
Notifications (in-platform),Communication,EXISTS,All,P1,Table stakes,Medium,Done,Done,Yes,Yes,Yes,No,No,No,"notification + recipients + templates + push devices"
SMS delivery,Communication,PARTIAL,Farmer; customer,P0,Very high,Very high,Low,Phase 1,Yes,Yes,No,No,No,Yes,"Only LoggingNotifier exists — code TODO for a real SMS adapter. Nothing is actually sent"
Email delivery,Communication,PARTIAL,Customer; finance,P1,High,Medium,Low,Phase 1,Yes,Yes,No,No,No,No,"Same LoggingNotifier gap; SES noted as a TODO"
WhatsApp delivery,Communication,MISSING,Farmer; customer,P0,Very high (India),Very high,Medium,Phase 1,Yes,Yes,No,No,No,Yes,"Every India competitor leads with WhatsApp bills and settlement slips"
Mobile field application,Mobile,EXISTS,Centre operator; delivery agent,P0,Table stakes,Very high,Done,Done,n/a,n/a,Yes,No,No,No,"Flutter app: collection wizard, deliveries, receipts, settlements, payments"
Mobile offline operation,Mobile,EXISTS,Centre operator,P1,Differentiator,High,Done,Done,Yes,No,Yes,No,No,No,"sync_operation + offline queue + replay; genuinely uncommon done properly"
Customer self-service app,Mobile,PARTIAL,Customer,P1,High,High,Medium,Phase 4,Yes,No,Yes,No,No,No,"customer_portal.dart exists; no branded ordering/subscription self-management"
Localization,Platform,EXISTS,All,P1,Table stakes,High,Done,Done,Yes,Yes,Yes,No,No,No,"English/Hindi/Arabic; catalog-driven with call-site tests"
Additional Indian languages,Platform,MISSING,Farmer; operator,P1,High,Medium,Low,Phase 10,Yes,Yes,Yes,No,No,Yes,"Competitors advertise 10+ regional languages; Lacteva has 3"
Currency,Platform,EXISTS,All,P0,Table stakes,High,Done,Done,Yes,Yes,Yes,No,No,No,"Per-organization currency; Decimal end to end; no conversion by design"
Timezone,Platform,EXISTS,All,P0,Differentiator (multi-country),High,Done,Done,Yes,Yes,Yes,No,No,No,"Organization -> centre -> user display hierarchy; business date never UTC"
Calendar / holidays,Platform,EXISTS,Dairy manager,P1,Differentiator,Medium,Done,Done,Yes,Yes,No,No,No,No,"Organization + centre calendars; one resolver used by scheduler and readiness"
Audit logs,Platform,EXISTS,Administrator; enterprise,P1,Table stakes (enterprise),High,Done,Done,Yes,Yes,No,No,No,No,"audit_record + audit endpoints"
Backup / recovery,Platform,EXISTS,Administrator,P1,Differentiator (enterprise),High,Done,Done,Yes,No,No,No,No,No,"Logical + base backups, PITR, restore proven into a fresh database"
Operational readiness,Operations,EXISTS,Centre operator,P2,Differentiator,Medium,Done,Done,Yes,Yes,Yes,No,No,No,"Device/operator/calendar checks before a centre may receive milk"
Device registry,Hardware,EXISTS,Centre operator,P2,Foundation,Medium,Done,Done,Yes,Yes,No,No,Partial,No,"device + health reports; categories include scale and milk_analyzer"
Milk analyzer / weighing scale integration,Hardware,PARTIAL,Centre operator,P1,Very high,Very high,High,Phase 7,Yes,No,Yes,No,Yes,No,"Only MockScaleAdapter/MockAnalyzerAdapter exist. Ports are defined; no real driver"
AMCU / DPU integration,Hardware,MISSING,Cooperative,P1,Very high (cooperatives),Very high,High,Phase 7,Yes,Yes,No,No,Yes,Partial,"The dominant Indian collection pattern; NDDB publishes an AMCU specification"
GPS / vehicle tracking,Hardware,MISSING,Dairy manager,P3,Medium,Medium,Medium,Later,Yes,Yes,Yes,No,Yes,No,"Only after routes exist"
Biometric devices,Hardware,MISSING,Administrator,P3,Low,Low,Medium,Later,Yes,No,Yes,No,Yes,Yes,"Attendance-adjacent; not a dairy operations need"
Public API / integrations,Integration,PARTIAL,Enterprise,P1,High,High,Medium,Phase 7,Yes,Yes,No,No,No,No,"203 documented operations with RFC-9457 errors, but no API keys, webhooks or rate-limited partner access"
Webhooks,Integration,MISSING,Enterprise,P2,Medium,Medium,Low,Phase 7,Yes,Yes,No,No,No,No,"Event relay + outbox already exist internally — the hard half is done"
Accounting integration (Tally/Zoho),Integration,MISSING,Finance team,P1,High (India),High,Medium,Phase 7,Yes,Yes,No,No,No,Yes,"Tally is near-universal in Indian SMB finance"
Tax / GST,Compliance,MISSING,Finance team,P1,High (India),High,Medium,Phase 5,Yes,Yes,No,No,No,Yes,"Must be a per-country tax port, never an if-India branch"
E-invoicing / e-way bill,Compliance,MISSING,Finance team,P3,Medium,Medium,High,Later,Yes,Yes,No,No,No,Yes,"Threshold-dependent; only for larger enterprises"
Food safety / FSSAI records,Compliance,MISSING,Plant manager,P3,Medium,Low,Medium,Later,Yes,Yes,No,No,No,Yes,"Relevant to processing, which Lacteva does not do"
Subscription / SaaS billing,Commercial,MISSING,Lacteva itself,P0,Mandatory to sell,Very high,Medium,Phase 1,Yes,Yes,No,No,No,No,"No plan, entitlement, trial or metering anywhere. Cannot charge a customer today"
Self-service onboarding,Commercial,PARTIAL,New customer,P0,Mandatory to sell,Very high,Medium,Phase 1,Yes,Yes,No,No,No,No,"Organization creation + country registry exist; no guided signup, trial or sample data"
Demo / sample data,Commercial,PARTIAL,New customer,P1,High,High,Low,Phase 1,Yes,Yes,No,No,No,No,"A seeder exists for demos; not exposed as a customer-facing 'try it' path"
Usage metering,Commercial,MISSING,Lacteva itself,P1,High,High,Medium,Phase 1,Yes,Yes,No,No,No,No,"Required for any per-farmer or per-customer price"
AI demand forecasting,AI,FUTURE,Dairy manager,P3,Low today,Medium,High,Phase 8,Yes,Yes,No,Yes,No,No,"Needs 12+ months of clean per-tenant history first"
AI route optimization,AI,FUTURE,Dairy manager,P2,Medium,High,High,Phase 8,Yes,Yes,Yes,Partial,No,No,"Meaningless until routes exist at all"
AI churn / payment prediction,AI,FUTURE,Sales; finance,P3,Low today,Medium,Medium,Phase 8,Yes,Yes,No,Yes,No,No,"Attractive demo, weak buying reason for a small dairy"
AI quality anomaly detection,AI,FUTURE,Procurement manager,P2,Medium,High,Medium,Phase 8,Yes,Yes,No,Partial,No,No,"Adulteration detection is a real dairy pain; statistical rules may beat ML"
AI operational assistant,AI,FUTURE,Dairy manager,P3,Low,Low,Medium,Later,Yes,Yes,No,Yes,No,No,"Do not build; a chat box does not sell dairy software"
